Data,Dolar,IBOVESPA,IPCA,IGPM,IGPDI,IGP10,INPC
abr/2015,-8.471796804703335,9.929618768328446,0.71,1.17,0.92,1.27,0.71
mai/2015,6.966510856576528,-6.169414359138522,0.74,0.41,0.4,0.52,0.99
jun/2015,-1.3741150076732676,0.6084154662623199,0.79,0.67,0.68,0.57,0.77
jul/2015,8.211878266152745,-4.174751794427385,0.62,0.69,0.58,0.75,0.58
ago/2015,6.167676699089556,-8.3338248304335,0.22,0.28,0.4,0.34,0.25
set/2015,13.292533402051252,-3.360785827649809,0.54,0.95,1.42,0.61,0.51
out/2015,-5.172155457100474,1.7976430901706653,0.82,1.89,1.76,1.88,0.77
nov/2015,-0.08583738361304691,-1.6329111164402974,1.01,1.52,1.19,1.64,1.11
dez/2015,3.001514585496188,-3.9228723404255317,0.96,0.49,0.44,0.81,0.9
jan/2016,2.787672132190677,-6.791234140715109,1.27,1.14,1.53,0.69,1.51
fev/2016,-2.5153658930930365,5.910013364351829,0.9,1.29,0.79,1.55,0.95
mar/2016,-9.297043740701948,16.967331868953593,0.43,0.51,0.43,0.58,0.44
abr/2016,-3.236839922623523,7.7035261212666075,0.61,0.33,0.36,0.4,0.64
mai/2016,2.5203289911832334,-10.088850141900538,0.78,0.82,1.13,0.6,0.98
jun/2016,-9.244825152578802,6.3026076910381255,0.35,1.69,1.63,1.42,0.47
jul/2016,1.3682925537864892,11.219360723504183,0.52,0.18,-0.39,1.06,0.64
ago/2016,-1.3742031949063753,1.0347595449151952,0.44,0.15,0.43,-0.27,0.31
set/2016,0.6951321816987074,0.8048220237992435,0.08,0.2,0.03,0.36,0.08
out/2016,-1.7242974742319135,11.235801051964295,0.26,0.16,0.13,0.12,0.17
nov/2016,7.826792782164197,-4.649980747015787,0.18,-0.03,0.05,0.06,0.07
dez/2016,-5.834151981111516,-2.7121765257002552,0.3,0.54,0.83,0.2,0.14
jan/2017,-3.898781149809015,7.378750394341409,0.38,0.64,0.43,0.88,0.42
fev/2017,-0.6462970516267958,3.078659677444295,0.33,0.08,0.06,0.14,0.24
mar/2017,1.3654114699507975,-2.5171762023341633,0.25,0.01,-0.38,0.05,0.32
abr/2017,1.0610864939744717,0.6447740982395667,0.14,-1.1,-1.24,-0.76,0.08
mai/2017,2.3608244332021733,-4.116019142852775,0.31,-0.93,-0.51,-1.1,0.36
jun/2017,1.4280439316351838,0.30138253257004355,-0.23,-0.67,-0.96,-0.62,-0.3
jul/2017,-3.7847820989786127,4.801271860095389,0.24,-0.72,-0.3,-0.84,0.17
ago/2017,-0.5947747039369039,7.456007281553398,0.19,0.1,0.24,-0.17,-0.03
set/2017,0.6996394511360773,4.8831792193124866,0.16,0.47,0.62,0.39,-0.02
out/2017,3.344965567258412,0.018844052009583546,0.42,0.2,0.1,0.49,0.37
nov/2017,-1.2928548551429309,-3.1450180330516226,0.28,0.52,0.8,0.24,0.18
dez/2017,2.0432665636909264,6.1566464270331105,0.44,0.89,0.74,0.9,0.26
jan/2018,-3.9745070479328555,11.139760739247663,0.29,0.76,0.58,0.79,0.23
fev/2018,2.170152649374353,0.6689199533640314,0.32,0.07,0.15,0.23,0.18
mar/2018,1.6930837770639207,-0.1345328201588657,0.09,0.64,0.56,0.45,0.07
abr/2018,4.679889401491049,0.8773984958882928,0.22,0.57,0.93,0.56,0.21
mai/2018,7.634248079003757,-10.870347790744935,0.4,1.38,1.64,1.11,0.43
jun/2018,3.691462109086828,-5.199729004351564,1.26,1.87,1.48,1.86,1.43
jul/2018,-3.404582776436448,8.87401563981694,0.33,0.51,0.44,0.93,0.25
ago/2018,11.27920477259232,-3.2087856601868214,-0.09,0.7,0.68,0.51,0.0
set/2018,-3.2926773901194735,3.4742690211012284,0.48,1.52,1.79,1.2,0.3
out/2018,-7.911265503447086,10.186282170855284,0.45,0.89,0.26,1.43,0.4
nov/2018,4.233204158211947,2.3792093704245976,-0.21,-0.49,-1.14,-0.16,-0.25
dez/2018,0.6024418247224151,-1.806623167679657,0.15,-1.08,-0.45,-1.23,0.14
